file id,time,z C30 FAME internal standard,z C28 FAME internal standard,z C26 FAME internal standard,z C24 FAME internal standard,z C22 FAME internal standard,z C20 FAME internal standard,z C18 FAME internal standard,z C16 FAME internal standard,z C14 FAME internal standard,z C12 FAME internal standard,z C10 FAME internal standard,z C09 FAME internal standard,z C08 FAME internal standard,xylulose NIST,valine,urea,uracil,UDP-N-acetylglucosamine,UDP-glucuronic acid,tyrosine,tryptophan,trans-4-hydroxyproline,threonine,taurine,tagatose,sucrose,succinic acid,stearic acid,sorbitol,sophorose,serine,salicylaldehyde,saccharic acid,ribulose-5-phosphate,ribose-5-phosphate,ribose,ribitol,pyrophosphate,putrescine,"propane-1,3-diol NIST",proline,phosphoethanolamine,phosphoenolpyruvate,phosphate,phenylalanine,pentadecanoic acid,pelargonic acid,pantothenic acid,palmitoleic acid,palmitic acid,oxoproline,ornithine,oleic acid,oleamide NIST,octanol NIST,octadecanol,N-methylalanine,N-acetylgalactosamine,N-acetylaspartic acid,myristic acid,myo-inositol,methionine,methanolphosphate,malic acid,lysine,leucine,lauric acid,lactic acid,isothreonic acid,isoleucine,inositol-4-monophosphate,hydroxylamine,hydroquinone,homoserine,hexose-6-phosphate,hexitol,heptadecanoic acid,glycolic acid,glycine,glycerol-alpha-phosphate,glutathione,glutamine,glutamic acid,glucose-6-phosphate,glucose-1-phosphate,glucose,glucosaminic acid,glucosamine NIST,gluconic acid,glucoheptulose,fumaric acid,fructose-6-phosphate,fructose-1-phosphate,fructose,erythritol,dodecanol,cytidine-5-monophosphate,cysteine,creatinine,citrulline,citric acid,citramalic acid,cholesterol,capric acid,bisphosphoglycerol NIST,beta-glycerolphosphate,beta-alanine,benzoic acid,aspartic acid,asparagine,alpha-ketoglutarate,alpha-aminoadipic acid,alanine,adipic acid,adenosine-5-monophosphate,adenosine,adenine,5'-deoxy-5'-methylthioadenosine,"3,6-anhydro-D-galactose",3-phosphoglycerate,3-hydroxy-3-methylglutaric acid,3-aminoisobutyric acid,2-ketoisocaproic acid,2-hydroxyglutaric acid,"1,2,4-benzenetriol","1,2-cyclohexanedione",1-monostearin,1-monopalmitin,1-hexadecanol," 2,5-dihydroxypyrazine NIST",87950,87948,5990,54,307,2430,1872,1815,110,2233,88041,1812,42445,42016,88043,88050,88046,88045,88054,88052,17541,88059,87947,1704,42007,87951,892,88047,21622,134,168,107250,112501,16817,4877,257,3143,86075,22324,3029,120987,46131,88055,2551,17267,99,88058,2030,84181,228,27127,1923,1661,453,46185,62,4793,17425,84390,2039,31556,21666,41821,137,1878,31547,2706,18488,5346,21885,11303,299,84721,46292,84566,1912,4945,1029,127730,2439,46128,4746,2810,41805,17651,84207,1760,31359,111263,42529,10962,41808,47170,443,4983,103828,21665,120668,46365,112482,479,657,42446,2061,47259,4550,18485,4942,2262,21664,113523,469,1862,113535,4531,43734,42075,17250,592,43707,31223,39,87956,31222,23635,1709,4937,6330,31460,21763,18266,1925,1870,105450,95550,21511,51865,5576,46377,16879,1064,31563,1913,46341,119050,31285,18082,41811,5259,61,1941,34049,49400,3258,11481,47,48620,124996,84223,1873,34055,34081,3228,129855,46369,3122,2260,109923,17068,1173,5483,88502,3105,18386,6491,120464,104303,13146,4577,12762,5396,107054,66261,103870,2040,7408,107094,107058,107197,17287,31962,21827
110625baasa12_1,17hr,49280,62060,77820,86663,93645,95952,94646,205222,205886,214042,201492,178383,128203,446,31857,4141,3179,18187,904,28072,4567,529,50237,125,2148,280,480,100793,80314,4096,18972,1732,123,323,176,365,1067,230883,330,523,46845,243,372,216250,11164,1235,13792,808,8051,10838,203547,7977,517,191,996,543,1757,348,2787,13573,1047,4161,3411,677,2824,37106,33709,23947,1123,43660,260,14625,194,245,482,397,1804,1002,16335,15088,283,25293,46910,1651,609,30468,8352,26485,268,1089,411,727,5439,4226,1423,253,2062,784,1915,6507,2760,347,106365,536,318,255,1337,2265,10007,1897,377,397,90606,659,4563,235,1090,1009,2634,215,100,45,655,175,226,387,301,613,620,2908,2340,4452,624,2164,4665,2710,5128,3482,106152,610732,81715,140878,59609,530,13149,2192,9109,7203,2402,6574,1334,27728,1263,2888,730,499,2731,4919,1089,6548,2178,1920,316,4373,419,605,778,173,204,798,634,1083,4662,428,285,858,1556,515,1691,491,687,583,227,12927,2052,5330,190,442,700,642,241,1455,202,11468,3981,247,685,166,3918,1101,383,1680,8004,768,183,2033,318,6134,222,1432,780,627,415,699,341,394,685,1232,240,451,520,487,563,124716,320,512,3073,303,804,886,1671,284,172,1342,603,174,1062,685,24944,3960,803,16236,3634,269,374,240,1058,643,389,727,440,3806,2426,2018,1155,10518,510,1591,1180,1379,199,1554,5912,388,861,2432,1000,536,405,524,1977,468,1686,544,171,1618,2366,226,339,407,1131,2179,1176,349,768,8354,937,477,729,436,96,339,1366,409,464,19450,1370,2018,723,482,398,5657,671,876,2236,468,2615,316,419,143,4112,1486,4467,2437,131,202,1139,1110,1113,384,1757,433
110624baasa32_1,17hr,45634,60885,74765,81283,94984,95687,91368,186979,185449,186271,172229,144060,96371,353,23173,2816,657,13283,676,15108,3122,485,34088,67,1341,2,56,58386,66302,749,13045,642,102,393,448,393,2570,172344,323,205,37633,88,301,209477,7573,807,8921,761,6014,6342,159885,5419,375,204,784,440,1145,280,2161,10847,1009,2958,1848,626,2092,26574,27656,12110,786,30059,348,9252,199,159,474,392,1042,376,10230,13429,407,16813,29957,1237,413,31693,6732,31920,230,605,369,1485,5116,3825,971,396,667,467,723,4643,2468,195,107646,402,213,248,934,947,7087,1410,372,341,65361,475,4820,194,913,687,798,195,88,52,563,231,196,295,230,168,453,1256,1775,3628,697,2630,4049,1909,2198,4177,44275,492569,103569,163481,48265,411,10936,2096,5436,5508,2138,1150,927,38073,617,2350,136,198,2136,3963,788,2473,426,1376,292,1008,270,76,450,121,214,565,277,1251,4237,327,355,1157,472,674,1183,253,692,221,213,6966,783,2483,138,413,718,554,308,870,182,8740,1869,155,739,180,2465,889,209,1324,3470,586,191,1610,316,2689,179,1150,434,506,369,495,329,451,690,1098,224,296,277,398,535,77511,130,832,904,346,506,674,825,347,294,723,493,160,467,739,21283,1714,718,8825,2358,210,297,433,667,491,353,643,235,2204,2417,2483,956,7239,519,933,837,1142,173,1149,3839,437,565,1627,521,287,244,315,1326,168,1075,451,186,986,1114,234,284,237,535,1914,586,452,356,3975,867,359,583,363,123,130,206,518,368,11042,1375,1481,669,331,311,2050,435,701,176,426,1757,279,359,197,3895,1166,1130,2185,100,43,1423,1077,876,387,1145,219
110624baasa07_1,17hr,50921,68033,83933,95776,103892,109862,104341,222210,211953,214914,193059,171609,153175,311,26674,4298,217,12251,410,17820,4225,414,34500,101,1549,51,313,87040,75077,1517,13457,673,76,369,335,374,2464,118763,311,519,30796,264,266,159889,7809,1180,6259,604,632,8674,125698,7780,432,977,937,705,2784,483,1882,11181,1020,2940,2889,618,4100,26756,25360,12520,956,31295,252,12993,263,138,419,356,1380,643,13336,8217,283,28927,38848,1142,525,39639,6720,19740,250,1178,388,1328,4340,3593,1026,347,221,409,2037,4483,2325,255,142349,715,259,134,863,7467,8052,1478,283,324,76717,544,4179,200,1087,778,1132,170,80,115,663,250,293,280,204,362,408,2073,2182,3918,653,2995,3138,2132,2955,6281,76334,569783,104036,158645,41266,472,7984,1937,6058,6018,1991,2399,839,24211,201,2844,2137,116,1545,3727,935,967,222,830,238,1610,224,284,542,132,552,459,252,1151,3738,309,368,858,175,405,1168,328,524,255,197,8440,1030,3739,170,415,568,745,130,741,156,10175,2576,204,260,144,2449,1150,331,1280,4365,746,179,1665,247,5922,154,1179,574,374,261,609,183,620,768,1154,363,316,387,287,378,135137,176,688,1928,355,578,1099,1313,516,269,1847,435,268,814,1027,22395,2137,553,12630,4543,209,371,448,752,615,232,471,347,2483,2383,1858,1416,9054,418,1049,874,1434,147,1581,4150,249,431,1708,730,228,434,348,1617,376,1947,429,201,1137,1055,253,243,407,1252,3802,602,617,503,5065,864,330,1119,218,104,76,845,531,408,22851,1608,1294,809,258,335,4235,666,801,260,514,1695,220,396,195,4093,1976,1878,2236,127,205,2768,1464,3464,291,2784,250
110624baasa36_1,17hr,55808,69068,86721,92590,96526,107496,105040,212895,215426,212017,184755,161905,110182,375,33643,4672,414,16402,480,27745,4545,314,39958,97,1974,34,332,83558,76579,2622,15732,1198,71,400,367,473,1030,210355,374,378,47265,274,297,185575,9700,637,11765,659,662,9571,251267,8069,306,193,801,549,1193,549,1986,10727,1722,3706,2877,529,3697,34237,29133,20491,1103,38960,301,10282,202,165,534,553,1106,632,13261,12787,371,19628,21064,1334,607,50446,7977,30651,247,844,505,1578,5294,5119,1432,398,395,256,550,5942,2691,188,126119,540,193,259,910,3096,10118,1503,409,379,81820,415,5333,218,1193,773,2159,168,101,33,780,145,182,278,257,52,423,808,1982,3876,873,3859,6924,2147,2546,4683,39568,565196,101692,161261,48288,403,11302,2139,7526,7395,1962,3522,1320,37564,406,2930,557,211,931,5134,1010,1292,358,1576,263,2584,187,76,445,139,194,911,707,2096,5076,626,244,1768,194,1767,1335,363,632,124,151,8700,656,3236,176,286,750,677,246,1108,133,10338,2577,275,831,275,2294,471,194,1083,4671,672,154,1713,215,4767,182,1099,643,607,422,527,175,505,796,1201,303,323,330,278,410,98910,296,684,1378,416,510,786,1000,425,353,1409,409,171,1003,831,27798,2172,805,8774,3478,312,458,621,1063,903,325,732,419,2138,2401,2594,866,8081,574,1484,912,1255,198,1389,4298,271,491,1696,707,326,304,425,1862,418,1365,516,228,1103,1409,258,328,243,724,2356,802,531,960,3778,778,416,907,377,99,376,380,475,221,3737,1085,1481,689,294,383,2994,481,1013,930,305,1815,305,421,242,4417,1256,2728,2995,261,195,818,1256,1038,139,1193,265
110625baasa26_1,17hr,41484,55448,73546,81382,90010,95607,87675,198806,199781,199981,176730,157257,136184,482,29746,3487,6206,17299,538,24280,4666,535,43738,90,2120,208,390,96707,69928,3625,17464,863,96,230,196,398,525,212449,338,227,35978,172,293,169768,9961,1854,10489,690,673,9545,228065,7125,372,282,1039,539,1180,418,2527,12501,1230,3752,3705,723,3828,31600,27414,18111,1197,37398,364,13485,275,222,473,351,1331,1238,16131,12321,251,29137,31752,1415,677,30752,8195,27028,256,1109,336,1432,5613,6952,1177,1515,4418,621,1469,6258,3112,328,123126,506,250,281,976,5156,11337,1917,415,430,87779,610,4276,236,1218,954,2317,176,134,108,759,325,258,495,175,484,150,1622,5846,4109,513,2090,3629,2321,4325,5144,58499,525780,67390,107486,45585,470,10815,2163,7311,6561,2028,5695,1090,32117,2008,2169,127,770,5913,3816,1403,2476,1265,603,438,3418,1134,413,1297,134,127,1129,782,1189,3614,657,602,875,1691,920,1171,398,786,419,235,11450,1723,4793,209,432,568,796,186,1108,409,13749,3368,212,923,271,3729,1221,209,1282,7504,847,195,2163,242,6740,209,1699,766,723,344,572,320,439,524,1442,241,387,471,448,680,131522,299,872,2281,334,723,807,1187,262,180,1986,474,594,820,577,24014,3279,750,16501,4255,289,509,309,698,781,601,697,441,3501,2220,2597,908,9720,620,1480,1006,1142,166,1578,5082,367,606,2285,699,412,388,491,1120,398,2108,415,195,1374,1986,486,315,341,817,1837,1046,654,1009,6850,923,388,1235,390,99,61,705,452,330,3663,1515,1655,572,341,274,5101,701,995,2142,390,1244,243,191,200,3971,1592,3851,1996,104,209,1576,771,1312,352,1584,210
110624baasa29_1,17hr,49384,66161,77168,91247,95026,100926,100282,195126,193628,191983,174649,157357,138310,345,31446,3441,835,15511,436,18083,5036,365,36873,96,1929,72,266,56752,69466,3278,14187,1017,95,242,267,386,2969,212662,266,453,46459,298,331,160076,8402,1430,8148,781,8001,6150,184232,7159,811,227,885,619,3584,341,2185,10263,1095,4297,3117,565,4428,36076,29044,13193,1091,34608,256,11886,258,248,369,353,1179,756,14156,11914,254,33849,36353,1256,586,25019,8125,22153,220,1211,397,1442,4856,3629,1197,360,669,712,1414,5584,2694,323,121871,461,322,294,875,1835,11162,1943,292,397,99741,631,5061,236,1322,828,1789,131,208,57,734,199,138,370,229,198,442,2531,2029,3829,743,3036,2401,2142,2105,5290,50903,538128,92336,139543,45852,620,10322,2057,7597,6568,2091,4917,1059,26074,614,3255,295,185,6634,3477,1477,4984,1460,668,364,3490,562,99,1172,138,510,1917,658,996,3887,1020,509,887,345,755,1354,416,626,366,205,6369,967,2759,178,242,710,1092,162,967,202,8879,1969,312,907,252,1769,949,252,1003,3405,659,112,1255,303,3974,168,2089,477,719,405,30,135,461,486,986,301,329,556,487,263,128679,210,694,1461,358,719,946,1421,415,381,1342,561,223,805,907,22808,1824,763,13953,3853,289,443,472,656,687,400,623,339,2336,2549,1812,950,9118,325,1335,786,1259,130,2152,4876,369,590,1696,675,430,353,319,996,276,1442,696,201,786,1342,206,290,343,857,2420,711,511,751,3910,749,423,1039,311,82,114,1136,494,361,2257,1936,1397,722,302,385,2418,611,924,225,517,1787,76,449,256,4235,2392,4019,2200,214,158,3136,470,3152,286,3584,256
110625baasa04_1,1hr,40993,55619,74208,75767,82345,87374,87491,182156,190682,189977,168811,149446,116467,256,34425,5066,479,706,690,19940,4241,258,39124,86,95,159,371,76122,593,115,24455,784,212,129,306,203,495,102212,1190,511,47371,225,475,163137,11426,681,10076,883,805,7729,223636,7089,699,188,1081,646,1361,248,5311,11401,1174,4245,8969,2212,1527,37187,27651,27721,322,43927,269,12645,297,310,1723,300,2106,722,13289,27074,397,17811,90535,4751,542,54424,95,631,120,242,1061,2241,4421,1145,653,598,497,187,5122,274,8924,257,156026,723,877,188,1101,4736,11181,2169,643,694,87537,463,5530,267,1171,1841,52,566,168,102,706,373,118,420,211,325,311,2897,2102,4245,609,3664,6606,2387,4311,2435,100783,243,176,437,134,566,82,83,243,121,106,249,105,678,895,3386,126,307,768,454,171,1037,1366,2128,215,647,172,419,1503,423,135,1072,123,1532,168,487,233,1346,217,918,888,474,206,461,648,11356,1732,4654,157,347,1235,659,501,1128,181,11054,4098,91,551,164,4344,1172,565,1282,7295,793,310,2122,251,6097,217,969,594,944,396,662,369,159,244,917,392,337,397,577,511,122501,349,699,1986,362,797,1031,1803,542,318,1461,741,189,338,551,24269,2666,441,12315,4259,316,394,256,822,360,417,492,558,3082,2432,1137,581,9577,508,1427,637,1583,159,1008,6698,491,527,1645,610,404,499,487,1240,415,1428,569,254,1609,1993,375,364,576,778,1805,886,744,1080,7741,542,385,1158,435,77,859,525,468,480,1295,1300,1762,657,424,386,5239,290,254,2126,589,1102,1065,252,215,1170,1336,559,450,159,143,955,1336,1152,365,1361,272
110625baasa11_1,1hr,50626,62269,80893,85223,96710,100144,93824,199891,212497,219380,199233,180886,147932,308,33717,5793,752,924,665,20846,4338,569,46572,85,68,23,490,90819,590,126,30880,1312,192,114,382,261,70,125476,1353,420,35877,190,373,158305,13459,700,12604,1126,921,9370,331356,6901,421,198,1067,520,1744,201,6139,14054,1175,3622,6916,2585,899,31820,33695,31994,414,47675,343,15013,295,294,1996,80,2239,962,15569,28386,489,13729,77415,5091,903,43259,83,815,162,233,1106,2189,4251,1925,669,535,654,102,2951,447,9187,261,129470,860,981,176,1102,9247,11950,1750,794,576,82076,622,5651,209,1304,1944,163,585,120,80,831,401,238,470,90,269,383,3504,2595,4696,722,2263,6602,2672,5333,3065,94986,247,114,330,143,527,110,103,247,83,99,293,72,741,1473,3152,705,679,6278,578,133,5603,5108,2440,1207,659,405,520,1244,542,203,1095,141,1530,129,435,168,1303,225,1285,1116,810,176,520,680,19028,2207,5845,119,171,1699,672,212,1449,251,13213,4022,104,246,227,4342,1004,265,2080,8461,462,423,2289,387,6825,350,1004,577,787,487,765,329,144,284,1638,404,404,375,784,707,155482,336,883,2507,611,1037,804,1919,599,182,1749,934,226,390,246,27638,3190,1114,17001,4751,400,515,380,663,420,499,611,699,3154,2802,859,1859,11340,794,1683,1339,1193,195,1922,6001,685,721,1550,697,421,635,401,1864,515,2101,605,203,1747,2504,348,393,519,840,1537,1063,451,462,8886,981,525,1407,465,92,887,579,234,544,652,1803,2126,779,318,389,6174,1028,420,448,682,2537,29,173,191,5563,1848,561,543,162,291,1288,1504,1592,348,1744,276
110625baasa27_1,1hr,38303,52473,63424,68967,79439,80492,73385,152806,148996,161879,132486,122914,89584,322,34219,4497,1114,796,587,21203,4062,232,36413,114,92,56,371,94094,530,104,19001,1860,77,136,389,262,45,83297,855,648,55403,199,619,172086,10858,770,10931,1135,596,9318,351532,6905,641,169,1572,429,1368,116,3752,9687,992,4979,6102,2988,2945,41177,19990,28491,328,41190,494,8750,239,260,884,269,2082,573,13109,16045,334,37672,52129,1803,803,23864,108,666,199,205,1487,832,4375,1206,498,498,567,123,1606,303,3617,181,84656,525,830,249,1203,2806,19724,2547,514,503,90457,468,3984,180,903,1256,47,990,142,104,612,283,212,489,220,392,170,927,1640,3807,459,1563,5052,1846,3716,4903,52238,394,249,289,203,303,203,104,394,77,127,149,109,786,1617,2637,730,685,2700,547,176,1387,1281,316,191,577,325,441,1468,539,195,716,161,1005,92,323,409,1093,217,1896,724,392,189,561,462,6490,2609,3582,112,228,1085,597,695,872,358,8354,2882,180,702,353,3361,854,396,1134,6452,482,415,1962,163,4198,202,1088,444,968,298,472,312,167,379,1141,331,358,455,399,488,70509,321,633,1765,362,968,612,1147,597,255,1712,694,266,225,702,16674,2379,628,12762,2068,247,330,163,799,263,290,521,527,2170,1760,1858,1239,7082,375,1197,1056,1484,175,1256,3443,355,358,1035,787,283,470,501,1907,525,1750,443,191,2124,1290,330,310,368,299,1445,863,630,877,6818,409,308,644,264,138,563,372,410,334,469,1064,1484,1664,222,321,4102,1014,357,101,456,2441,45,367,258,2791,1078,409,387,63,294,1296,1070,1198,329,1368,306
110624baasa30_1,1hr,46167,66034,83521,87312,100526,104030,99278,210086,211925,208494,177496,162277,134311,222,33004,5475,328,680,608,19761,3841,248,32871,76,72,464,477,83482,550,90,22601,2111,96,137,386,152,583,110194,1393,345,52335,196,409,113520,10285,1551,13847,844,729,10579,302719,7210,748,245,858,607,1808,244,5316,12152,1019,4592,11932,1979,1918,38171,38291,27033,343,38869,160,11696,297,351,1630,269,1383,849,12194,24428,355,23327,64108,5021,687,21854,66,641,198,211,865,2872,3933,884,527,504,276,169,3148,344,8637,220,141390,794,782,247,954,3611,11043,2977,608,650,89640,594,6801,169,1676,1879,160,564,120,62,778,248,209,384,283,275,425,1942,2078,3932,856,3566,5142,2127,2879,5642,50932,177,181,246,179,381,124,83,275,801,92,280,86,1433,623,1917,127,279,5362,331,165,2898,1290,798,624,653,487,109,1468,453,380,461,157,897,122,266,363,710,137,1628,961,279,159,270,629,7546,744,3507,110,794,1233,739,663,1196,169,8571,2323,155,644,184,2443,1018,569,891,5024,725,345,1836,290,3428,408,1941,708,646,460,669,267,109,229,1170,483,291,400,285,381,127645,238,664,1695,522,751,771,1151,162,355,1585,689,389,403,644,21620,1670,1004,13794,4013,468,437,263,653,380,404,478,577,2588,2227,5043,693,8936,587,1258,884,921,79,1004,5033,341,649,1536,803,387,370,382,2070,177,840,512,263,1074,1585,259,379,389,799,1358,796,747,426,4561,556,301,856,448,107,1115,703,431,227,558,1315,1461,629,296,369,4022,539,575,196,507,1644,1098,488,225,5405,1536,458,542,231,97,1512,1032,1280,22,628,217
