"","p.values.getdata.....left.out._p.values","p.values.getdata.....left.out..1_p.values","p.values.getdata.....left.out._adjusted.p.values","p.values.getdata.....left.out..1_adjusted.p.values","p.values.getdata.....left.out._q.values","p.values.getdata.....left.out..1_q.values","post.hoc.0.17.1","post.hoc.0.17.6","post.hoc.1.6","post.hoc.0.17.24","post.hoc.1.24","post.hoc.6.24"
"z.C30.FAME.internal.standard",0.296945755373764,0.505907583229375,0.505907583229375,0.849581001701227,0.241391699163143,0.548350787369135,1,1,1,1,0.776021075203791,0.775984529261762
"z.C28.FAME.internal.standard",0.342820519795264,0.543784272778695,0.543784272778695,0.86255436371793,0.262935730109397,0.566161739900112,1,0.680688177212792,1,1,1,1
"z.C26.FAME.internal.standard",0.253795166118727,0.466529003588872,0.466529003588872,0.834568550864538,0.218631007239498,0.528213893708218,1,1,1,1,0.95326310476619,0.415792619810098
"z.C24.FAME.internal.standard",0.259646485553897,0.466529003588872,0.466529003588872,0.834568550864538,0.221875404613913,0.528213893708218,0.714715131951585,0.717571505926059,1,1,1,1
"z.C22.FAME.internal.standard",0.259744995201167,0.466529003588872,0.466529003588872,0.834568550864538,0.221929579572771,0.528213893708218,0.994691511548358,0.552239399338611,1,1,1,1
"z.C20.FAME.internal.standard",0.260792610701854,0.466529003588872,0.466529003588872,0.834568550864538,0.222504806414012,0.528213893708218,0.602509544935158,0.6356282796622,1,1,1,1
"z.C18.FAME.internal.standard",0.116009770576569,0.259410736983716,0.259410736983716,0.58007123131081,0.123474385836926,0.383686028578914,0.133804753341369,0.5170040868856,1,0.898514613782274,1,1
"z.C16.FAME.internal.standard",0.283285444000255,0.498458540809193,0.498458540809193,0.849581001701227,0.234468742493316,0.544674497860693,0.419348082157601,1,1,1,1,1
"z.C14.FAME.internal.standard",0.0139337971011484,0.0472282385954714,0.0472282385954714,0.158821626679883,0.0225016275443077,0.109704768048282,0.13465980109309,0.605338899604728,1,1,0.0779198079350982,0.387726296539059
"z.C12.FAME.internal.standard",0.00571336587124714,0.0219012358397807,0.0219012358397807,0.0839547373858261,0.0104777113644664,0.0577962550884198,0.0475232630966451,0.436102653372098,1,1,0.0394640420105885,0.377644526518971
"z.C10.FAME.internal.standard",0.0162948498991459,0.0529994107830805,0.0529994107830805,0.172277061925164,0.0254418559516285,0.119839612801521,0.0248895409861127,0.410653160849747,1,0.788525497259529,0.926699683211826,1
"z.C09.FAME.internal.standard",0.0569901834752046,0.14564157999219,0.14564157999219,0.372195148868929,0.0694925041597141,0.258995514783773,0.0746475707713391,1,1,1,0.524354362488278,1
"z.C08.FAME.internal.standard",0.128727112059177,0.284503571656225,0.284503571656225,0.623198299818399,0.134094911741701,0.405741344301026,0.138947611702927,0.766538489418259,1,1,0.783970515636582,1
"xylulose.NIST",0.00140781319396738,0.0059962343316199,0.0059962343316199,0.0254050980892317,0.00287532345539461,0.0177869850286913,1,1,1,0.230804217669411,0.0953073394240394,0.117783830861683
"valine",0.0141169332923287,0.0473505470846857,0.0473505470846857,0.158821626679883,0.0227368840857511,0.109925290562583,0.128475669871871,1,0.0792894906273808,1,0.0194608374478335,1
"urea",0.00591075942879498,0.0223913474831998,0.0223913474831998,0.0848236928187099,0.0108045266226796,0.0589344457793966,1,1,0.359949593833165,0.038650416627304,0.00242542659230516,0.449793915959412
"uracil",0.916835838442534,0.94826901606498,0.94826901606498,0.973932965619026,0.463629152941311,0.694722996706098,1,1,1,1,1,1
"UDP.N.acetylglucosamine",0.00567879791568003,0.0219012358397807,0.0219012358397807,0.0839547373858261,0.0104202596870759,0.0577962550884198,1,0.0723481614572321,0.0528948492326849,0.856881575388557,0.685591616877993,1
"UDP.glucuronic.acid",2.70646620165731e-08,2.29337399193067e-07,2.29337399193067e-07,1.94333269842546e-06,1.11291882402393e-07,1.3717408307958e-06,4.95792452083975e-05,9.36741291838437e-07,1,1,0.000143773805747112,2.94682706291269e-06
"tyrosine",0.0296278080701838,0.084911288744817,0.084911288744817,0.241959601556027,0.0410201625254304,0.170792096035025,0.0395942367567094,0.199743740444803,1,0.760188331270818,1,1
"tryptophan",0.0168507202466583,0.0540372150759055,0.0540372150759055,0.172277061925164,0.0261059435254009,0.121605261025946,0.0177611332154761,0.235125879607664,1,0.614900722577379,0.947747607647213,1
"trans.4.hydroxyproline",1.10095459159326e-05,6.95112506849077e-05,6.95112506849077e-05,0.000438874955304712,3.33171071795328e-05,0.000304798238104933,1,0.000967074732607059,0.0365918915132393,0.659594698807508,0.0416488855271249,2.3667109906985e-06
"threonine",5.37678415221075e-10,5.77108165670621e-09,5.77108165670621e-09,6.19429431153133e-08,2.63459397141835e-09,4.0567937629092e-08,0.000331014108951604,0.000127912697947449,1,0.517853626717519,4.27442499844125e-07,1.46407141435399e-07
"taurine",2.8284519819675e-05,0.000168659544109914,0.000168659544109914,0.000996001717017314,8.0348573482022e-05,0.000693265344389188,1,1,1,9.25257970657373e-05,0.00120274377872258,0.0001923594750219
"tagatose",0.310999338230299,0.514497811589252,0.514497811589252,0.849581001701227,0.248260900409116,0.55251725759149,1,1,1,0.480154796288162,1,1
"sucrose",0.82857773382206,0.91370558318734,0.91370558318734,0.973932965619026,0.438572235742548,0.686791961367099,1,1,1,1,1,1
"succinic.acid",3.53140032534733e-07,2.62225451937555e-06,2.62225451937555e-06,1.91901353463392e-05,1.25551517084451e-06,1.3545746554051e-05,0.0229695691426535,3.46979397330918e-07,0.0168481103088583,1,0.0788130897796552,2.080945386085e-06
"stearic.acid",0.0255835502193864,0.075577093308646,0.075577093308646,0.22326444078334,0.0365123693935755,0.156643249170741,0.192876160219373,1,0.326106286592312,0.0944835749883247,1,0.167263874306519
"sorbitol",0.216062868154626,0.432125736309252,0.432125736309252,0.834568550864538,0.19637842518668,0.50909199674233,1,1,1,1,1,1
"sophorose",0.016949561250517,0.0540372150759055,0.0540372150759055,0.172277061925164,0.026222951017761,0.121605261025946,1,1,1,0.306133147474917,0.384243917897417,0.0301551202918407
"serine",1.17496023681189e-07,9.27035068950208e-07,9.27035068950208e-07,7.28061688297481e-06,4.47505265993648e-07,5.12410656451486e-06,0.0694581835950637,0.000478902884998052,0.68053592763827,1,0.00351034347872626,1.14362981292152e-05
"salicylaldehyde",0.108055987193012,0.243314880252796,0.243314880252796,0.547883856233569,0.116594063588828,0.368655702677692,0.576626157350695,1,0.372383979463295,1,1,0.791458502770335
"saccharic.acid",0.0101169490390528,0.0361961954508333,0.0361961954508333,0.129501943724092,0.0172968766961531,0.0887069414465884,1,0.033995643621044,0.722578842411402,0.0324264629267894,0.699517449937401,1
"ribulose.5.phosphate",7.19098203268833e-05,0.000379589543364859,0.000379589543364859,0.0020037349666145,0.000182328568270109,0.00139675204917998,0.560681763975054,0.0219987421672539,1,0.44073426094374,0.0046586031134947,4.90091303281751e-05
"ribose.5.phosphate",0.0729267629071242,0.172664835706574,0.172664835706574,0.408809390422917,0.0837900606621398,0.292972201200718,0.495383616099795,1,0.627741995304354,0.71115811198825,1,0.887167124288625
"ribose",6.24956656710852e-05,0.000346958695622231,0.000346958695622231,0.00192621896535101,0.000161884187274507,0.00129683967434206,1,1,1,0.0616505617811106,0.0261013008869483,0.0511647278965743
"ribitol",0.0460572688894849,0.121560988380444,0.121560988380444,0.320841297200844,0.0588711772430056,0.226229839288971,0.351936211278916,1,1,1,0.0254924644950868,0.42194443625054
"pyrophosphate",0.000134854728521197,0.000668049578212698,0.000668049578212698,0.00330941483360752,0.00032418827177344,0.00233601763454033,1,0.00325680700756237,0.0676413801081728,1,0.427312823202258,0.000204901328480142
"putrescine",3.05116796663648e-24,3.27492028418982e-22,3.27492028418982e-22,3.51508110503041e-20,1.58923945430477e-22,2.48119134682176e-20,1,4.13091827901136e-22,1.21088315778487e-20,5.66932357128096e-07,1.20755718812063e-08,2.49085185457489e-30
"propane.1.3.diol.NIST",0.370036938150772,0.567389971831183,0.567389971831183,0.868745027568905,0.274603837076442,0.576568461650403,0.761866391564926,1,1,1,1,1
"proline",0.0157144609916602,0.0521655303022123,0.0521655303022123,0.172277061925164,0.0247373199643668,0.118408635087832,0.843910984245319,0.0235293872295521,0.836159333146934,0.051166319407854,1,1
"phosphoethanolamine",0.918704643646359,0.94826901606498,0.94826901606498,0.973932965619026,0.464135558110102,0.694722996706098,1,1,1,1,1,1
"phosphoenolpyruvate",4.56974363950197e-11,5.88582980767854e-10,5.88582980767854e-10,7.58094879228996e-09,2.82826830917868e-10,5.2424510558381e-09,2.90218321016286e-05,0.011040307458779,0.53417422869353,0.0143182589886215,7.86550889246042e-11,1.01707416284665e-07
"phosphate",0.000592750352371311,0.00268824807695158,0.00268824807695158,0.01219177296871,0.00129835622312229,0.00855123431854891,1,1,1,0.00071016054633152,0.004587414618674,0.00436857988002234
"phenylalanine",1.46565303897894e-07,1.12366732988385e-06,1.12366732988385e-06,8.61478286244287e-06,5.4528852588743e-07,6.08091934563105e-06,0.0612793154609583,1,0.0663770510868386,0.0009077290470529,3.52203334144399e-08,0.000818950265772093
"pentadecanoic.acid",0.311574761676721,0.514497811589252,0.514497811589252,0.849581001701227,0.248536888352732,0.55251725759149,1,0.756600694929319,0.539757571819644,1,1,1
"pelargonic.acid",0.00835025807370998,0.0309055528705128,0.0309055528705128,0.114386069244887,0.0146751169874987,0.0777946429732002,1,1,1,0.0491799457896824,0.0475336946494392,0.0441930466459508
"pantothenic.acid",1.2711293036235e-26,4.09303635766767e-24,4.09303635766767e-24,1.31795770716899e-21,1.98625135973915e-24,9.30307199405703e-22,1.02488988322853e-07,2.34546769059115e-08,1,2.7766101694399e-21,3.4358641611078e-30,1.24269435953082e-30
"palmitoleic.acid",0.482163232349222,0.663609266192051,0.663609266192051,0.894937766419711,0.318349667379201,0.614282318023056,1,1,1,1,1,1
"palmitic.acid",0.269884847630316,0.478393987179635,0.478393987179635,0.8463893619332,0.227428677719557,0.534467752682488,0.358885247930536,1,1,1,1,1
"oxoproline",8.90213269265489e-09,7.96246313065243e-08,7.96246313065243e-08,7.12198091130579e-07,3.86399040665822e-08,5.02719478764595e-07,1,1,1,2.65168322788086e-06,2.65612558648509e-08,5.20739273201636e-06
"ornithine",0.000729828469359428,0.00321924338539364,0.00321924338539364,0.014199950275298,0.00156222080451125,0.0100233231312777,0.879399528467906,0.00989153904907584,0.448712028891621,0.000534816952537505,0.0526549847554583,1
"oleic.acid",0.92613995098736,0.94973587330551,0.94973587330551,0.973932965619026,0.466140927964985,0.695050711153906,1,1,1,1,1,1
"oleamide.NIST",0.0186635374484468,0.0589182260627437,0.0589182260627437,0.18599675286474,0.0284008747766979,0.130061626057945,0.266824599245749,0.0605590838959237,1,1,0.295333178976377,0.0682711587951509
"octanol.NIST",0.841751925471702,0.913800785248399,0.913800785248399,0.973932965619026,0.442460070776413,0.686814372669647,1,1,1,1,1,1
"octadecanol",0.509294406139147,0.675372289565185,0.675372289565185,0.894937766419711,0.327615099629749,0.618437028404827,1,1,1,1,1,1
"N.methylalanine",0.890863633251277,0.940071984118853,0.940071984118853,0.973932965619026,0.456490852239659,0.692878632115985,1,1,1,1,1,1
"N.acetylgalactosamine",0.0214822868573518,0.06651246507757,0.06651246507757,0.205868635190762,0.0318312748439016,0.142596014071961,0.0823912582993558,1,1,0.0417245049714091,1,0.899905973510986
"N.acetylaspartic.acid",0.00402603332807797,0.0158095455078184,0.0158095455078184,0.0620813860185062,0.00759472658002575,0.0431322757194954,1,1,1,0.0105190357303012,0.0277756684871469,0.0461828286846294
"myristic.acid",0.493259009677926,0.671344629680493,0.671344629680493,0.894937766419711,0.322197417484929,0.617024569080135,1,0.980713434068739,1,1,1,1
"myo.inositol",0.00150305833264407,0.0062855166637843,0.0062855166637843,0.0262848878667343,0.00305020892294705,0.0185537216292929,1,0.510159137964961,0.150676571919824,0.0892508941395343,0.327128577228846,0.000404596576315574
"methionine",6.56814158239839e-10,6.51015486198697e-09,6.51015486198697e-09,6.3523329259388e-08,3.11849475045933e-09,4.48392313492122e-08,0.111431786356816,1,0.00225569529298403,8.55306129242339e-06,4.63657948084747e-10,0.00110884146348778
"methanolphosphate",5.94957364043152e-11,7.36831812391904e-10,7.36831812391904e-10,9.12537859962281e-09,3.50851593788864e-10,6.27422757991026e-09,1,1,1,1.09808507437119e-09,2.14805821325562e-09,1.13528926783218e-11
"malic.acid",3.36480635740438e-20,1.08346764708421e-18,1.08346764708421e-18,3.48876582361116e-17,5.25780593964887e-19,2.46261617128649e-17,2.52695858937291e-14,9.32649853229772e-21,0.00171484067766311,0.860346196834915,1.1486324517898e-11,2.3393279949353e-18
"lysine",0.497572664900453,0.673186546630025,0.673186546630025,0.894937766419711,0.323671194513288,0.617671806037826,1,1,1,0.861722769337409,1,1
"leucine",2.1230628297501e-06,1.39515557383578e-05,1.39515557383578e-05,9.16816519949228e-05,6.76826577482096e-06,6.46402258377308e-05,0.793331165029392,0.34915160424754,0.00579592587816186,0.000958338894427604,3.41770902114319e-06,0.252682055876479
"lauric.acid",0.184202784641657,0.390219056938247,0.390219056938247,0.826648265356022,0.175587104283765,0.48359680348718,1,1,0.306471231486497,1,1,1
"lactic.acid",1.18038626791797e-07,9.27035068950208e-07,9.27035068950208e-07,7.28061688297481e-06,4.49372935767743e-07,5.12410656451486e-06,1,0.0014843157152421,0.00416564939016793,3.5612603464094e-06,1.20912904504375e-05,0.630728180212396
"isothreonic.acid",3.47448780091261e-05,0.000199783048552475,0.000199783048552475,0.00114875252917673,9.64890823513479e-05,0.000805373992177591,1,0.0162264130308772,0.194706323448226,1,0.212750276132732,0.000301988218936323
