"","p.values.treatment_p.values","p.values.treatment.1_p.values","p.values.treatment_adjusted.p.values","p.values.treatment.1_adjusted.p.values","p.values.treatment_q.values","p.values.treatment.1_q.values","post.hoc.5mM.Glucose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.5mM.Glucose"
"z.C30.FAME.internal.standard",0.176967477379991,0.455868221730858,0.455868221730858,0.997798249055363,0.304343970772244,0.861674235021271,0.206664575387165,0.281779283045005,0.981864668273323
"z.C28.FAME.internal.standard",0.329033271076432,0.614962298276923,0.614962298276923,0.997798249055363,0.416950430377644,0.893654208907259,0.579763714432235,0.31056563130345,0.884345615221757
"z.C26.FAME.internal.standard",0.433402611646708,0.710553889132487,0.710553889132487,0.997798249055363,0.483392952206499,0.906625127275636,0.986934332905707,0.459597669586742,0.553459871822132
"z.C24.FAME.internal.standard",0.278116852768562,0.563230355921238,0.563230355921238,0.997798249055363,0.384071712652453,0.885009685367789,0.656794629726524,0.247157424849319,0.742940492070388
"z.C22.FAME.internal.standard",0.0764321701024543,0.282886882448164,0.282886882448164,0.997798249055363,0.192310093826482,0.794474224920572,0.567980845532227,0.0616903349458964,0.407136779775298
"z.C20.FAME.internal.standard",0.0451958440036205,0.199357010536518,0.199357010536518,0.879355580722723,0.135137583671635,0.731482895665645,0.462515568768708,0.0348366764370708,0.371256266487617
"z.C18.FAME.internal.standard",0.155864694031588,0.416725545635313,0.416725545635313,0.997798249055363,0.284196570643327,0.850622251967532,0.567681315284871,0.131592278179591,0.620116681800209
"z.C16.FAME.internal.standard",0.127055691439331,0.385961628711929,0.385961628711929,0.997798249055363,0.257366967300479,0.840613503624863,0.863703105598964,0.123044142614799,0.31115690382128
"z.C14.FAME.internal.standard",0.145493178069272,0.410954415248294,0.410954415248294,0.997798249055363,0.275177940558522,0.848841596911426,0.537310057824289,0.122445225132164,0.628384283330256
"z.C12.FAME.internal.standard",0.139678578081309,0.405193712992625,0.405193712992625,0.997798249055363,0.269821287724953,0.847021312022172,0.795847060321121,0.126423050663775,0.384237752591893
"z.C10.FAME.internal.standard",0.167942667698452,0.439654788608955,0.439654788608955,0.997798249055363,0.295958162329856,0.857301032356029,0.609184292997795,0.142492418875804,0.603712227044631
"z.C09.FAME.internal.standard",0.102692942133585,0.351777950712921,0.351777950712921,0.997798249055363,0.229551818648167,0.827792466198936,0.414588578342491,0.085940269364873,0.652472148751171
"z.C08.FAME.internal.standard",0.100188726879586,0.350557445764509,0.350557445764509,0.997798249055363,0.226362820238048,0.82729645251492,0.245199975994894,0.102290246225593,0.890637923641066
"xylulose.NIST",1.24873625324827e-10,5.0261634193243e-09,5.0261634193243e-09,2.02303077627803e-07,3.43509141145253e-09,1.8850785409955e-07,0.388164403273553,1.05164336905439e-07,3.88251319982658e-10
"valine",0.12416354554945,0.383932630492383,0.383932630492383,0.997798249055363,0.25434104694305,0.839906032260554,0.868244912919858,0.121066125556656,0.302852568465868
"urea",0.661974380797987,0.875954001500046,0.875954001500046,0.997798249055363,0.588339965999761,0.922897008309112,0.999953562450532,0.7082362472405,0.71384256669824
"uracil",0.346959418496764,0.62413928913943,0.62413928913943,0.997798249055363,0.428270266394737,0.89505375821578,0.313555395166571,0.761840185158259,0.72759531960018
"UDP.N.acetylglucosamine",1.16269563698852e-07,2.49591996740202e-06,2.49591996740202e-06,5.35790819668966e-05,1.68144029127227e-06,4.86809410485915e-05,0.00225159615923642,0.0157237350305013,5.59446960979315e-08
"UDP.glucuronic.acid",0.0150265269032429,0.0916238978712445,0.0916238978712445,0.548851748489524,0.0611560511969996,0.555953189612034,0.0116778293544341,0.511587558458299,0.161824025582373
"tyrosine",0.00734804020037859,0.0525793098782646,0.0525793098782646,0.376234172906693,0.0359349111269465,0.418090912954915,0.994265562678551,0.0151071352695418,0.0198824327894812
"tryptophan",0.00487411176457132,0.0435962218942213,0.0435962218942213,0.364704741176269,0.0273575679345266,0.373327617015068,0.707326751032583,0.00495457471574567,0.0428944855088031
"trans.4.hydroxyproline",0.97718930933776,0.99073652639335,0.99073652639335,0.997798249055363,0.678428820541177,0.931215392496207,0.994087328918096,0.993218699574693,0.974890360144074
