"","p.value","-log10(p)","FDR","Tukey's HSD"
"Endotoxin",2.4719e-12,11.607,1.1618e-10,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Glucose",5.5896e-08,7.2526,1.3136e-06,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Alanine",8.618e-08,7.0646,1.3502e-06,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Methylamine",1.4058e-06,5.8521,1.6518e-05,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Uracil",2.2976e-06,5.6387,2.1597e-05,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Acetate",0.00020088,3.6971,0.0015735,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Propionate",0.00041026,3.3869,0.0027546,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Dimethylamine",0.00087796,3.0565,0.005158,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"NDMA",0.0012773,2.8937,0.0066702,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Xanthine",0.0019107,2.7188,0.0089805,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Valine",0.0023332,2.6321,0.0092885,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Phenylacetate",0.0023715,2.625,0.0092885,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Lysine",0.0028111,2.5511,0.010163,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Leucine",0.0031127,2.5069,0.01045,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Butyrate",0.0047928,2.3194,0.014878,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Valerate",0.0050649,2.2954,0.014878,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Glycerol",0.005417,2.2662,0.014976,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Lactate",0.0065376,2.1846,0.016784,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Nicotinate",0.0067851,2.1684,0.016784,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"3-PP",0.0079607,2.0991,0.018708,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Fumarate",0.0085912,2.0659,0.019228,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Cadaverine",0.0090671,2.0425,0.019371,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Ferulate",0.010538,1.9772,0.021535,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Hypoxanthine",0.012125,1.9163,0.023745,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Isoleucine",0.0161,1.7932,0.030268,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Glycine",0.01716,1.7655,0.03102,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"PAG",0.02236,1.6505,0.038922,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Glutamate",0.033983,1.4687,0.057042,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Benzoate",0.051217,1.2906,0.083007,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Ethanol",0.062698,1.2027,0.098227,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Proline",0.064972,1.1873,0.098506,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"3-HP",0.10136,0.99412,0.14888,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Isovalerate",0.11823,0.92726,0.16839,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"3-HB",0.13305,0.87597,0.18393,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Maltose",0.13934,0.85591,0.18712,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Aspartate",0.16653,0.77851,0.21741,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Caffeine",0.25126,0.59988,0.31917,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Succinate",0.2665,0.5743,0.32962,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Ribose",0.3251,0.48798,0.39179,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Tyrosine",0.36175,0.44159,0.42505,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Methanol",0.37428,0.4268,0.42905,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Isobutyrate",0.48021,0.31857,0.53738,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Choline",0.64681,0.18922,0.70698,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Histidine",0.67955,0.16778,0.72589,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Acetoacetate",0.73177,0.13563,0.76429,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"Formate",0.80361,0.094954,0.82108,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
"1,3-D",0.90144,0.045063,0.90144,"15-0; 30-0; 45-0; 30-15; 45-15; 45-30"
