Sample,Label,3-Methyl-2-oxovalerate,Acetaminophen,Acetate,Acetoacetate,Acetylsalicylate,Adipate,Alanine,Allantoin,Betaine,Butyrate,Creatine,Creatinine,Dimethylamine,Ethanol,Formate,Glycine,Hippurate,Isovalerate,Lactate,Methanol,Methylsuccinate,N-Nitrosodimethylamine,Phenylacetylglycine,Pyridoxine,Taurine,Trimethylamine N-oxide,Tyramine,Tyrosine,Urea,Valerate,p-Cresol
c87_day1,-1,65.9,148,510.2,221.4,,115.8,69.5,3478.6,36.2,170.9,4647.1,10667.6,279,13721.1,,324.5,8022.3,,,919.9,,,11680.4,362.4,,1464.7,130.4,40.5,20169.8,,581.5
143_day1_1of4,-2,83.6,166.4,730.4,217.8,277,136.6,122.9,4139.1,385.6,,1878.6,4219.8,272.5,9248.7,232.2,404.2,5206.5,23.9,92.5,626,,120.4,6686.6,324.5,447.2,794.2,100.3,106.1,6460.9,331.2,36.8
143_day1_1of5,-3,124.5,128.6,1004.6,234.2,472.7,91.1,89.1,4126.9,165.4,,3052.2,5625.1,264.5,17324.7,191.6,538.6,5016.9,50.7,70.9,1699.1,,129.1,6540,488.2,476.7,1006.9,97.7,117.1,6425.6,416,262.6
163_day1,-4,297.6,153.5,623.8,225.7,112.2,46,,3888.6,54.7,64,1156.7,11150.2,290.6,24597.3,,459.4,10152.9,,,2347.4,162.7,94.7,13000.1,427.9,206.5,1248.5,263.8,,10862.8,128.1,654.9
225_day1,-5,50.2,135.6,392.1,160.1,475.2,23.8,,656.6,63.3,57.8,1495.6,4734.3,142.5,3488.8,,120.5,3141.2,25.4,,433.2,179.6,79,5285.5,192.3,322.3,724.6,144.8,,952.7,63.9,347.1
239_day1,-6,80.7,71,374,64.7,252.2,47.4,36,1766.1,54.3,62.1,571,3991.5,105.8,1418.1,43.3,110.4,2153.9,40.8,,373.8,,75.2,3468.7,209.1,,347.5,87.8,,3858.8,153.1,90.1
241_day1,-7,103.4,,500.3,100,,32.3,49.8,4332.3,,44.2,2283.4,6958.6,145.6,4887.6,154.1,247.3,4226,,72,1312.4,180.7,,5879.4,,,658.5,98.7,169.3,16362.2,122.6,375.4
87_day4,1,,,376.6,,,,,,245.7,,2523.3,10188.2,226.2,19281.8,173.2,287.2,7454,,,5532.8,,,10667.6,,354.7,643.3,,168.6,11745.9,,294.5
143_day4_2of2,2,684.2,169.9,925.8,674.8,,466.1,277.1,951,766.2,744.5,7065.2,13618.2,794.3,24398.6,773.3,1273.2,14447.7,,222.7,3174.4,861.6,,19121.7,,544.7,3589.8,169.3,,28630.5,197.5,116.2
143_day4_2of5,3,206.9,148.2,872.6,147,71.5,51,67.3,3948.1,108.8,106,3693.7,9355.7,242.5,14706.3,179.9,594.9,6204.4,17.5,78.6,1575.4,273.6,,9239,,279.6,860.1,96.6,,8877.4,273.6,162.9
163_day4,4,171.4,106.5,339.4,123.1,46.6,79.8,50.4,2262.9,33,60.7,437,5257,131,8451.5,79.1,135.5,3525.5,17.9,62,627.3,,,5022.7,180.2,133.4,453.7,110.4,62.2,9224,134.5,187
225_day4,5,319.5,48,1047.9,301.2,,97.1,64.4,2291.3,71.8,,1868.3,9351.8,261.6,7747.3,267.3,338.7,3547.4,67.4,69.7,1437.7,,,6722.1,380.4,379.1,1121.2,227,212.6,2867.7,335.4,341.5
239_day4,6,224.8,76.7,562.3,102.7,175.6,117.5,,3683.9,38.5,72.8,1659.3,6775.5,177.5,10163,,269.4,3727.1,48.7,,1715.7,232,101.1,6631,265.2,,405.6,156.4,,4775,175.1,169.8
241_day4,7,31.3,37.3,416.3,69.2,86.2,44.7,30.1,1826.7,23.4,84.3,1364.9,4080.8,96.7,9582.6,45.6,165.9,2417.1,,27.3,950.3,118.8,,3163.6,,,244.5,49,21.9,3462.5,72.7,84.6
