"","p.values.Phenotype_p.values","p.values.Gender_p.values","FDR.p.values.Phenotype_p.values","FDR.p.values.Gender_p.values","p.values.Phenotype_adjusted.p.values","p.values.Gender_adjusted.p.values","FDR.p.values.Phenotype_adjusted.p.values","FDR.p.values.Gender_adjusted.p.values","p.values.Phenotype_q.values","p.values.Gender_q.values","FDR.p.values.Phenotype_q.values","FDR.p.values.Gender_q.values"
"X1.6.Anhydro.beta.D.glucose",0.000257780941569245,0.171091479007415,0.00695683847430182,0.353845837538237,0.00695683847430182,0.353845837538237,0.0382438415094152,0.699355892225191,0.000483370600001281,0.166870854923594,0.00277572631130089,0.444391411016472
"X1.Methylnicotinamide",0.36931524275151,0.539794857460454,0.401152763678364,0.666805412157032,0.401152763678364,0.666805412157032,0.435734898478223,0.823700803252804,0.0278726396749988,0.330691739008045,0.0316255055643472,0.537510507986043
"X2.Aminobutyrate",0.00940941861446938,0.123606174909228,0.0219553101004286,0.317154217772852,0.0219553101004286,0.317154217772852,0.0461264927870655,0.699355892225191,0.00146050712910851,0.148752767132301,0.00334768374836608,0.444391411016472
"X2.Hydroxyisobutyrate",0.0460123831627194,0.0946952471728434,0.0711891455276504,0.28408574151853,0.0711891455276504,0.28408574151853,0.106783718291476,0.699355892225191,0.00469189545179071,0.135006507009704,0.00736253334480884,0.444391411016472
"X2.Oxoglutarate",0.34003917741213,0.650235698832246,0.37583277503446,0.758608315304287,0.37583277503446,0.758608315304287,0.415394119774929,0.871540124032095,0.0259379692913829,0.373106596277022,0.0299055249329401,0.569377493478081
"X3.Aminoisobutyrate",0.226398908342276,0.0805187748507459,0.259329658646607,0.275226010060684,0.259329658646607,0.275226010060684,0.297050336267931,0.699355892225191,0.0180185774272584,0.126226039968022,0.0215598224868881,0.444391411016472
"X3.Hydroxybutyrate",0.0060390046908612,0.223506192991167,0.0190228647762128,0.4023111473841,0.0190228647762128,0.4023111473841,0.0461264927870655,0.70690592077813,0.0011786534589331,0.191567728181613,0.0032916687050553,0.449815114556627
"X3.Hydroxyisovalerate",0.00129470811668186,0.502595103494721,0.00728454123988861,0.648944694627236,0.00728454123988861,0.648944694627236,0.0382438415094152,0.820088398722661,0.00050534283090744,0.315082823550845,0.00277572631130089,0.530754551974635
"X3.Indoxylsulfate",0.0555806919992142,0.594036325242523,0.0778129687988999,0.719697855582287,0.0778129687988999,0.719697855582287,0.108863018155849,0.871540124032095,0.00536221227810358,0.352217343312813,0.00779594758905835,0.556423072450258
"X4.Hydroxyphenylacetate",0.184366098151341,0.62363652143919,0.215093781176564,0.741303789635263,0.215093781176564,0.741303789635263,0.250942744705992,0.871540124032095,0.0149450084902675,0.363390235788478,0.0182079026827218,0.563710970031591
"Acetate",0.00412459971016517,0.970564994476884,0.0136763043021266,0.970564994476884,0.0136763043021266,0.970564994476884,0.0453477458438935,0.970564994476884,0.000942874319159575,0.47044227934348,0.00313798544751234,0.628480716499862
"Acetone",0.504235359888644,0.157292874574944,0.529447127883076,0.353560622874374,0.529447127883076,0.353560622874374,0.55591948427723,0.699355892225191,0.0365312526305165,0.162192871856626,0.0400084743295402,0.444391411016472
