Sample,Time,0.4425/385,0.4498/625,0.4711/463,0.4715/659,0.4766/757,0.4772/675,0.4781/591,0.485/736,0.4887/223,0.489/699,0.4891/691,0.493/654,0.4941/925,0.4943/787,0.4971/637,0.4972/689,0.5047/627,0.5058/835,0.5327/267,0.5438/445,0.8564/715,1.0767/403,1.1583/767,1.1625/699,1.3234/331,1.4087/417,1.4112/485,1.5491/683,1.8172/475,1.8563/721,1.9734/851,1.9754/783,1.9887/474,2.6085/452,2.6114/520,2.7725/478,3.1514/919,3.1656/517,3.2501/568,3.4352/728,3.4383/660,3.7057/658,3.733/704,3.7339/636,3.7992/756,3.916/782,3.917/850,3.9806/473,3.9807/722,3.9862/634,4.2076/873,4.2116/941,4.2159/784,4.2193/852,4.2229/920,4.2912/664,4.3148/653,4.3965/1116,4.4961/849,4.4984/917,4.5023/828,4.5031/896,4.6889/1164,4.6892/944,4.6905/1022,4.6908/954,4.6918/971,4.6923/1012,4.694/927,4.6965/76,4.6972/794,4.6984/812,5.5282/820,5.5812/761,5.6299/960,5.6317/1164,5.6387/1086,5.6766/994,5.72/1012,5.7243/614,5.7927/839,5.7962/890,5.8357/974,5.8564/431,5.8801/952,5.8858/979
S10T0,0,140.23,120.1,102.94,289.67,80.53,112.55,2665.74,105.5,40.16,85.17,93.98,55.14,64.38,54.9,295.52,84.37,99.51,453.63,336.15,0.5,323.65,354.57,46.33,412.9,62.61,1931.9,195.97,390.47,111.84,353.81,80.15,605.41,314.62,339.41,49.01,22.19,59.5,467.93,33.1,160.17,1142.83,665.78,286.53,1828.72,321.37,1311.72,211.17,324.38,184.86,989.91,824.47,134.88,2269.06,405.52,109.65,142.44,0.5,0.5,497.89,105.91,875.84,190.65,313.95,673.83,2929.85,8732.55,268.96,232.56,227.23,343.33,644.68,329.71,44509.22,4092.64,20291.39,336.9,277.7,86.98,339.12,91.8,1148.44,3797.68,842.19,329.87,2875.74,1246.79
S10T1,1,157.38,69.85,67.11,359.43,84.3,112,3156.15,147.92,208.59,118.48,130.44,56.03,84.65,51.14,413.9,105.59,98.56,228.39,553.47,91.08,594.15,181.79,92.65,755.57,0.5,876.48,107.05,661.85,70.11,767.47,126.37,1114.78,347.93,560.55,71.19,36.04,88.37,123.29,29.48,166.37,1100.94,680.41,238.79,1630.68,262.39,1253.61,215.86,487.95,184.73,1052.24,770.16,139.74,2062.89,350.84,88.63,129.14,0.5,43.67,397.57,77.41,780.59,191.78,280.07,627.73,2552.83,7474.87,228.57,223.18,216.09,201,583.62,267.79,38353.41,3594.12,17127.19,384.08,291.4,115.45,266.88,121.24,973.29,3313.53,663.67,291.8,2422.71,1061.65
S10T2,2,124.62,65.75,83.99,240.13,42.33,68.97,2172.25,70.26,98.6,80.29,56.11,54.96,84.68,0.5,243.08,65.17,91.11,239.3,671.26,0.5,804.48,162.64,106.89,967.36,62.43,1016.68,122.62,793.06,140.73,3205.38,185.72,1458.21,417.86,581.57,75.51,61.59,58.9,150.69,43.76,85.22,758.38,472.14,117.8,983.19,169.15,769,96.5,547.9,104.47,640.39,388.34,63.61,1009.16,164.91,60.93,59.55,0.5,98.34,219.3,33.37,359.45,91.38,154.66,342.2,1329.34,6765.48,122.7,127.43,143.72,48.32,292.03,118.22,23239.03,2003.66,10022.63,446.31,391.02,194.26,164.17,106.72,643.88,2118.39,357.4,113.02,1548.66,566.37
S10T3,3,114.34,92.68,86.86,294.74,62.04,81.16,2553.57,99.84,101.5,95.24,81.63,0.5,78.03,0.5,284.27,79.21,107.12,247.88,838.18,66.75,713.25,42.67,79.27,911.11,49.08,164.69,24.66,787.05,0.5,1642.63,170.14,1397.34,314.72,676.28,68.91,57.51,73.02,58.04,71.43,282.29,2043.31,1275.44,504.5,3817.42,603.96,3396.13,547.71,489.29,290.93,2357.12,1907.93,316.23,5765.97,1048.84,217.42,343.13,38.12,135.86,1191.97,223.86,2078.74,447.52,659.36,1727.99,5780.4,18665.98,561,512.41,347.12,1582.63,1701.01,757.88,58495.81,5918.91,24669.09,99.84,96.68,26.92,439.34,585.61,1652.69,4965.94,1493.14,657.74,4158.44,1676.01
S11T0,0,147.23,121.22,110.09,314.71,73.74,93.07,2767.71,99.54,0.5,93.97,102.69,62.47,0.5,0.5,268.08,82.18,113.9,467.37,358.63,38.44,275.31,335.27,38.61,380.51,57.13,1922.65,203.33,306.26,83.03,185.23,90.02,595.15,316.11,289.03,34.54,40.21,60.38,531.35,48.78,162.45,1144.67,721.65,252.26,1724.36,310.92,1255.66,205.02,335.44,170.52,1079.9,804.99,162.04,2404.68,399.49,89.16,152.93,0.5,0.5,514.76,114.16,856.36,204.89,299.34,750.62,2851.66,8580.95,256.38,291.08,227.67,355.5,575.85,353.06,42818.53,3874.94,20210.25,327.55,252.19,93.3,286.45,97.55,1055.53,3408.15,853.72,269.33,2895.89,1313.55
S11T1,1,165.29,70.04,98.61,338.43,97.78,114.11,3153.75,125.61,197.12,103.86,100.17,68.89,63.46,57.8,457.47,88.94,125.38,227.24,601.74,84.96,581.18,172.8,85.38,711.1,67.84,809.67,86.44,605.27,62.59,744.1,139.53,1092.41,330.33,549.34,63.54,42.73,95.17,121.87,0.5,147.6,1021.2,662.08,217.91,1655.85,290.75,1235.63,222.57,515.62,188.46,1085.23,731,126.76,1951.89,392.5,110.6,119.07,0.5,41.5,428.16,102.6,843.82,177.84,272.04,666.69,2563.77,7301.19,257.15,231.72,207.8,242.94,603.3,324.84,39045.63,3514.19,16263.23,327.01,263.17,122.86,203.86,159.32,1017.83,3163.41,665.11,322.11,2470.9,1032.51
S11T2,2,125.85,76.06,77.91,203.29,58,67.45,2127.4,93.1,94.93,72.17,70.87,53.51,74.12,0.5,231.17,68.65,83.98,226.71,690.99,0.5,845.79,183.12,111.72,1063.61,64.58,977.87,118.13,743.72,115.04,3129.73,212.28,1455.9,420.88,606.26,57.82,44.05,35.39,191.72,47.99,102.13,720.95,456.41,148.05,886.01,152.46,626.25,99.83,642.59,97.81,579.85,361.41,72.01,972.22,168.65,42.85,59.99,22.51,110.74,191.26,32.14,385.35,94.84,139.93,331.05,1466.95,6151.11,109.66,142.78,154.17,50.78,326.23,165.12,24986.47,1957.34,11268.23,474.91,377.36,172.53,120.47,118.17,676.45,2110.49,232.35,125.73,1582.3,667.44
S11T3,3,128.41,91.89,100.75,264.08,79.33,81.35,2448.13,93.08,128.98,96.63,86.37,39.36,68.41,26.66,275.72,66.88,93.49,218.6,796.52,0.5,818.83,33.73,98.08,865.34,0.5,197.3,24.19,775.86,21.12,1614.6,163.51,1325,314.61,671.34,75,48.85,53.39,0.5,82.91,304.72,1905.09,1210.26,533.45,3757.95,549.31,3512.37,547.26,467.51,308.51,2241.79,1903.96,345.64,5789.36,1038.12,244.26,334.69,37.64,122.32,1211.71,215.27,1937.28,434.65,600.01,1384.79,5614.51,19058.38,585.3,474.21,329.05,1751.8,1675.15,825.25,58811.94,5691.04,25474.62,124.41,102.36,8.73,430.62,645.4,1608.94,5076.6,1521.63,713,3403.18,1708.62
S12T0,0,126.35,81.18,136.32,349.01,91.7,94.92,2908.16,91.68,88.02,77.64,70.47,56.7,85.1,49.28,320.84,64.8,120.88,478.68,347.91,46.52,280.95,514.54,37.1,347.99,58.64,2461.92,254.71,176.85,229.38,190.3,63.32,580.77,249.94,282.76,31.48,16.02,0.5,738.16,17.7,156.64,1246.76,776.4,301.05,1893.12,349.42,1349.23,217.72,395.71,182.77,1457.38,946.95,163.39,2760.12,552.06,129.39,176.12,0.5,0.5,560.25,96.79,1194.39,224.8,409.51,762.54,3634.82,10138.91,351.04,272.39,296.36,530.38,709.51,402.54,47347.31,4637.26,21851.02,331.77,246.01,73.87,348.14,99.35,1277.94,4272.08,955.52,420.74,2656.86,1382.78
S12T1,1,139.75,73.14,92.56,365.76,82.39,94.97,3144.93,103.81,183.9,115.69,102.67,99.04,90.79,43.18,506.91,92.52,116.54,179.89,488.5,62.25,636.14,208.44,81.17,796.11,0.5,858.58,101.28,650.71,64.58,976.86,162.08,1184.25,337.63,563.75,70.56,38.03,79.01,257.2,30.13,134.23,971.25,616.5,247.29,1717.22,226.95,1294.4,209.2,576.28,149.74,1208.24,672.46,143.27,2240.9,465.66,108.02,152.4,13.59,25.25,468.51,90.86,963.54,235.11,352.71,613.85,3264.71,8609.42,276.71,240,251.53,301.18,681.39,364.47,44327.53,4451.99,17277.84,354.89,221.59,97.06,309.06,194.5,1115.25,3785.62,856.3,279.82,2424.1,1175.84
